Title,Price,Link,Status,Loc_Date
Komputer Gamingowy Ryzen 7/16GB/RX-580/256GB SSD,1 850 złdo negocjacji,/d/oferta/komputer-gamingowy-ryzen-7-16gb-rx-580-256gb-ssd-CID99-IDTHGYD.html,Używane,Jastrzębie-Zdrój - 20 marca 2023
Sprzedam komputer stacjonarny,1 300 złdo negocjacji,/d/oferta/sprzedam-komputer-stacjonarny-CID99-IDSxZ4S.html,Używane,Miłakowo - Dzisiaj o 13:34
"PC P4 3,4 GHz 2Gb RAM, GF 7300 GT, karta TV, zasilacz obud. DVD, SATA",100 zł,/d/oferta/pc-p4-3-4-ghz-2gb-ram-gf-7300-gt-karta-tv-zasilacz-obud-dvd-sata-CID99-IDTYoMq.html,Używane,"Warszawa, Śródmieście - Dzisiaj o 13:31"
Apple Mac Mini Late 2014 i5/4gb/275 SSD Bogaty Pakiet W Srodku!,1 300 zł,/d/oferta/apple-mac-mini-late-2014-i5-4gb-275-ssd-bogaty-pakiet-w-srodku-CID99-IDPxuql.html,Używane,Lublin - Dzisiaj o 13:30
Mały Komputer Dell Optiplex 3020 Do nauki/internetu i5,400 złdo negocjacji,/d/oferta/maly-komputer-dell-optiplex-3020-do-nauki-internetu-i5-CID99-IDSxpGR.html,Używane,"Białystok, Mickiewicza - Dzisiaj o 13:29"
Komputer w dobrym stanie,850 złdo negocjacji,/d/oferta/komputer-w-dobrym-stanie-CID99-IDTYoFl.html,Używane,Kościerzyna - Dzisiaj o 13:29
Zasilacz Chieftec 400W GPA-400S8,50 zł,/d/oferta/zasilacz-chieftec-400w-gpa-400s8-CID99-IDTu2PP.html,Używane,Lewin Brzeski - Dzisiaj o 13:28
Komputer Gamingowy,2 300 złdo negocjacji,/d/oferta/komputer-gamingowy-CID99-IDTYouI.html,Używane,Żywiec - Dzisiaj o 13:26
Komputer do gier i nauki + monitor i słuchawki GRATIS,699 zł,/d/oferta/komputer-do-gier-i-nauki-monitor-i-sluchawki-gratis-CID99-IDMYp1d.html,Używane,Gorlice - Dzisiaj o 13:24
Zestaw! Komputer stacjonarny AORUS ACTINA AMD Ryzen 5 3600/16GB RAM/G,2 699 złdo negocjacji,/d/oferta/zestaw-komputer-stacjonarny-aorus-actina-amd-ryzen-5-3600-16gb-ram-g-CID99-IDTPyh4.html,Używane,"Białystok, Dziesięciny II - Odświeżono Dzisiaj o 13:24"
Komputer stacjonarny,120 zł,/d/oferta/komputer-stacjonarny-CID99-IDSLkeA.html,Używane,Oświęcim - Dzisiaj o 13:23
"Mocny PC. Ryzen 9 3900X, MSI Suprime X 3080",5 700 zł,/d/oferta/mocny-pc-ryzen-9-3900x-msi-suprime-x-3080-CID99-IDTTbhw.html,Używane,"Poznań, Junikowo - Odświeżono Dzisiaj o 11:00"
"Komputer PC dla gracza AMD Ryzen 7 3700 X, 32 GB DDR4/SSD 1TB, RTX2060",3 500 złdo negocjacji,/d/oferta/komputer-pc-dla-gracza-amd-ryzen-7-3700-x-32-gb-ddr4-ssd-1tb-rtx2060-CID99-IDSDL46.html,Używane,"Gdańsk, Śródmieście - 16 marca 2023"
*PILNE* Komputer do Gier  (RX 6400 DDR6 Gwarancja) 8Gbram Win11+Gratis,1 400 zł,/d/oferta/pilne-komputer-do-gier-rx-6400-ddr6-gwarancja-8gbram-win11-gratis-CID99-IDTLAs5.html,Używane,Skoczów - 24 marca 2023
Komputer stacjonarny Asus,650 złdo negocjacji,/d/oferta/komputer-stacjonarny-asus-CID99-IDNeOSP.html,Używane,"Warszawa, Wilanów - Dzisiaj o 13:22"
Komputer i5 Radeon R9,700 złdo negocjacji,/d/oferta/komputer-i5-radeon-r9-CID99-IDTYoeT.html,Używane,Brodnica - Dzisiaj o 13:21
Lenovo IdeaCentre B320,649 zł,/d/oferta/lenovo-ideacentre-b320-CID99-IDStLfj.html,Używane,Sucha Beskidzka - Dzisiaj o 13:21
Dell T1600 i3 8gb 500gb,170 zł,/d/oferta/dell-t1600-i3-8gb-500gb-CID99-IDS9HD0.html,Używane,Skierniewice - Dzisiaj o 13:20
"Procesor Xeon E3 1245, 16GB ram, ATI fire pro v4900",299 zł,/d/oferta/procesor-xeon-e3-1245-16gb-ram-ati-fire-pro-v4900-CID99-IDSHdF9.html,Używane,Warzyce - Dzisiaj o 13:20
Komputer Gamingowy do gier,2 000 złdo negocjacji,/d/oferta/komputer-gamingowy-do-gier-CID99-IDTYo7M.html,Używane,"Poznań, Ogrody - Dzisiaj o 13:19"
Komputer Ryzen 5 3600 Gtx 1650 8GB Ram 500GB SSD,2 750 złdo negocjacji,/d/oferta/komputer-ryzen-5-3600-gtx-1650-8gb-ram-500gb-ssd-CID99-IDOFvS2.html,Używane,Tarnów - Dzisiaj o 13:19
miernik ekspozycji zdjęć,15 zł,/d/oferta/miernik-ekspozycji-zdjec-CID99-IDTgDzZ.html,Używane,"Kraków, Podgórze Duchackie - Dzisiaj o 13:19"
HP EliteDesk 705 G5 DM Desktop Mini PC AMD Ryzen 5 PRO 3400GE 8GB RAM,1 399 złdo negocjacji,/d/oferta/hp-elitedesk-705-g5-dm-desktop-mini-pc-amd-ryzen-5-pro-3400ge-8gb-ram-CID99-IDRd2fL.html,Używane,Świebodzin - Dzisiaj o 13:18
"DELL PRECISION 5820 XEON W-2102,32GB DDR4,Quadro P4000 8GB,SSD 500gb",3 300 zł,/d/oferta/dell-precision-5820-xeon-w-2102-32gb-ddr4-quadro-p4000-8gb-ssd-500gb-CID99-IDSTZZp.html,Używane,"Wrocław, Krzyki - Dzisiaj o 13:18"
Komputer do gier I5 4x3.4Ghz/16GB/GTX1050Ti 4GB/SSD/HDD,930 zł,/d/oferta/komputer-do-gier-i5-4x3-4ghz-16gb-gtx1050ti-4gb-ssd-hdd-CID99-IDTbNaV.html,Używane,Łańcut - 16 marca 2023
"Wiedźmin 3 Custom PC , Intel Xeon 10 rdz, 32gb RAM , 8gb grafika, SSD",1 650 złdo negocjacji,/d/oferta/wiedzmin-3-custom-pc-intel-xeon-10-rdz-32gb-ram-8gb-grafika-ssd-CID99-IDTWUWq.html,Używane,Ełk - 02 kwietnia 2023
Komputer Gamingowy GTX 1660 SUPER Ryzen 5 2600 RAM 16GB 512GB,2 299 zł,/d/oferta/komputer-gamingowy-gtx-1660-super-ryzen-5-2600-ram-16gb-512gb-CID99-IDTRb4n.html,Używane,Lublin - Odświeżono dnia 04 kwietnia 2023
Komputer  stary zestaw,333 zł,/d/oferta/komputer-stary-zestaw-CID99-IDSGMnn.html,Używane,Skalbmierz - Dzisiaj o 13:18
"Mini  Komputer , Deskop MH 53 PDC",600 złdo negocjacji,/d/oferta/mini-komputer-deskop-mh-53-pdc-CID99-IDTj9Rz.html,Używane,"Szczecin, Dąbie - Dzisiaj o 13:16"
Mini  Komputer Acer X1935,600 złdo negocjacji,/d/oferta/mini-komputer-acer-x1935-CID99-IDTj941.html,Używane,"Szczecin, Dąbie - Dzisiaj o 13:16"
"PC lub zestaw Gamingowy.GTX 1060,I5 6600K, 8GB RAM",2 200 zł,/d/oferta/pc-lub-zestaw-gamingowy-gtx-1060-i5-6600k-8gb-ram-CID99-IDRuTjq.html,Używane,"Poznań, Śródka - Dzisiaj o 13:14"
komputer do gier i7 3930K 6-core 16GB DDR3 Radeon 7970,1 100 zł,/d/oferta/komputer-do-gier-i7-3930k-6-core-16gb-ddr3-radeon-7970-CID99-IDTYnGv.html,Używane,Ligota Piękna - Dzisiaj o 13:11
Stary komputer nr 4,60 zł,/d/oferta/stary-komputer-nr-4-CID99-IDTYnzE.html,Uszkodzone,"Łódź, Widzew - Dzisiaj o 13:10"
Komputer PC AMD Ryzen 1700x GeForce 1060 6GB 32GB Ram  SSD 480 GB,2 299 zł,/d/oferta/komputer-pc-amd-ryzen-1700x-geforce-1060-6gb-32gb-ram-ssd-480-gb-CID99-IDTTdXt.html,Używane,Bojano - Odświeżono Dzisiaj o 13:08
"komputer iMac 27"" 5K Retina 64GB RAM 3TB SSD i7 4.2Ghz turbo IDEALNY",6 999 złdo negocjacji,/d/oferta/komputer-imac-27-5k-retina-64gb-ram-3tb-ssd-i7-4-2ghz-turbo-idealny-CID99-IDT33il.html,Używane,"Kraków, Bronowice - Odświeżono Dzisiaj o 13:08"
"Amiga 500, Karta ACA 500 Plus - Komputer PETARDA!",2 000 zł,/d/oferta/amiga-500-karta-aca-500-plus-komputer-petarda-CID99-IDSZumA.html,Używane,Bydgoszcz - Dzisiaj o 13:08
"Komputer stacjonarny PC I5 3470, Radeon HD 7850, RAM 8GB",400 złdo negocjacji,/d/oferta/komputer-stacjonarny-pc-i5-3470-radeon-hd-7850-ram-8gb-CID99-IDTskHD.html,Używane,Kębliny - Dzisiaj o 13:08
"Komputer PC i5 3.8 GHz GTX 1650 16GB RAM 500 NVMe+500 HDD+monitor 22""",1 800 zł,/d/oferta/komputer-pc-i5-3-8-ghz-gtx-1650-16gb-ram-500-nvme-500-hdd-monitor-22-CID99-IDL6BE6.html,Używane,Bielsko-Biała - 23 marca 2023
Komputer do gier Intel Core i7 11700 /16gb ram/ RX 6700XT/SSD NVME 1TB,4 950 zł,/d/oferta/komputer-do-gier-intel-core-i7-11700-16gb-ram-rx-6700xt-ssd-nvme-1tb-CID99-IDTHjAP.html,Nowe,Toruń - Odświeżono Dzisiaj o 13:52
TANIE_GRANIE | Intel i7 3.90Ghz | 16GB | RX 570 4GB | SSD + 1TB | W10,1 490 złdo negocjacji,/d/oferta/tanie-granie-intel-i7-3-90ghz-16gb-rx-570-4gb-ssd-1tb-w10-CID99-IDSDr7c.html,Używane,Lublin - 12 marca 2023
Stary komputer nr 3,60 zł,/d/oferta/stary-komputer-nr-3-CID99-IDTYnsA.html,Uszkodzone,"Łódź, Widzew - Dzisiaj o 13:07"
Komputer świat Angielski w praktyce i Business English,10 zł,/d/oferta/komputer-swiat-angielski-w-praktyce-i-business-english-CID99-IDSZJLH.html,Używane,Chraboły - Dzisiaj o 13:06
Komputer Gamingowy ( ZESTAW ),3 800 złdo negocjacji,/d/oferta/komputer-gamingowy-zestaw-CID99-IDTYnkh.html,Używane,"Łódź, Śródmieście - Dzisiaj o 13:05"
Komputer stacjonarny Fujitsu ESPRIMO P900 E85.,390 złdo negocjacji,/d/oferta/komputer-stacjonarny-fujitsu-esprimo-p900-e85-CID99-IDRHfq6.html,Używane,Legnica - Dzisiaj o 13:05
RTX 3090 Suprim X / i9 12900K / 64Gb DDR5 Cl30 6000mhz/ MSI Z690 Unify,19 999 złdo negocjacji,/d/oferta/rtx-3090-suprim-x-i9-12900k-64gb-ddr5-cl30-6000mhz-msi-z690-unify-CID99-IDSzI2H.html,Używane,"Warszawa, Ursynów - Dzisiaj o 13:05"
Komputer Firmy FUJITSU - Bardzo Szybki DYSK SSD 256GB + Duży RAM 10GB,999 zł,/d/oferta/komputer-firmy-fujitsu-bardzo-szybki-dysk-ssd-256gb-duzy-ram-10gb-CID99-IDHlhwa.html,Używane,Radomsko - Dzisiaj o 13:04
Komputer PC AMD Ryzen 7 3700X + RTX 2070 Super + GRATISY,3 750 zł,/d/oferta/komputer-pc-amd-ryzen-7-3700x-rtx-2070-super-gratisy-CID99-IDTAk9B.html,Używane,Głażewo - Dzisiaj o 13:02
Komputer Dell 9020 i5 8 GB Windows 7,450 zł,/d/oferta/komputer-dell-9020-i5-8-gb-windows-7-CID99-IDT9Omt.html,Używane,Busko-Zdrój - Dzisiaj o 13:00
Stary komputer nr 2,60 zł,/d/oferta/stary-komputer-nr-2-CID99-IDTYmYu.html,Uszkodzone,"Łódź, Widzew - Dzisiaj o 12:59"
